"name","sport","height","weight","age","link","img","gender"
"Amy Cozad","diving",63,113,25.2684931506849,"http://www.teamusa.org/usa-diving/athletes/Amy-Cozad","http://www.teamusa.org/~/media/USA-Diving/Headshots/Cozad-Amy-headshot.jpg","F"
"Amy Cragg-Hastings","track and field",64,100,32.5616438356164,"http://www.teamusa.org/usa-track-and-field/athletes/Amy-Hastings","http://www.teamusa.org/~/media/TeamUSA/TrackAndField/Hastings_Cragg_Amy/hastings_amy_150x250.jpg","F"
"Andrew Durutalo","rugby",74,236,28.8,"http://www.teamusa.org/usa-rugby/athletes/Andrew-Durutalo","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicHopefuls/durutalo_andrew_150x250_2.jpg","M"
"Andy Bisek","wrestling",70,180,29.986301369863,"http://www.teamusa.org/usa-wrestling/athletes/Andy-Bisek","http://www.teamusa.org/~/media/USA_Wrestling/Athlete-Bios/2015-Athlete-Mugs/AndyBisek150x250.jpg","M"
"Angel McCoughtry","basketball",73,155,29.9232876712329,"http://www.teamusa.org/usa-basketball/athletes/Angel-McCoughtry","http://www.teamusa.org/~/media/TeamUSA/Basketball/Headshots/McCoughtry_angel_150x250_1.jpg","F"
"AngelicaDelgado","judo",63,115,25.6602739726027,"http://www.teamusa.org/usa-judo/athletes/Angelica-Delgado","http://www.teamusa.org/~/media/USA_Judo/Images/Athlete-Headshots/angelicadelgado.png","F"
"Anita Alvarez","synchronized swimming",67,114,19.6876712328767,"http://www.teamusa.org/usa-synchronized-swimming/athletes/Anita-Alvarez","http://www.teamusa.org/~/media/USA_Synchronized/Images/Headshots/2015-Senior-National-Squad/Anita_Alvarez_HS_2015.jpg","F"
"Annie Haeger","sailing",66,128,26.5150684931507,"http://www.teamusa.org/us-sailing/athletes/Annie-Haeger","http://www.teamusa.org/~/media/TeamUSA/RioHeadshots/Haeger_Annie_150x250.jpg","F"
"Anthony Ervin","swimming",75,177,35.2191780821918,"http://www.teamusa.org/usa-swimming/athletes/Anthony-Ervin","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Swimming/Ervin_Anthony_150x250.jpg","M"
"Anthony Fahden","rowing",71,158,30.4575342465753,"http://www.teamusa.org/us-rowing/athletes/Anthony-Fahden","http://www.teamusa.org/~/media/TeamUSA/Galleries/Mens-four/Anthony-Fahden.jpg","M"
"Antonio Vargas","boxing",66,114,19.986301369863,"http://www.teamusa.org/usa-boxing/athletes/Antonio-Vargas","http://www.teamusa.org/~/media/USA_Boxing/Images/Athlete-Photos/Olympic-poster-photos/Antonio-website.jpg","M"
"April Ross","volleyball",73,165,34.1506849315069,"http://www.teamusa.org/usa-volleyball/athletes/April-Ross","http://www.teamusa.org/~/media/USA_Volleyball/Images/Athlete-Head-Shots/Beach-Volleyball/Web-April-Ross2013.jpg","F"
"Aria Fischer","water polo",72,173,17.441095890411,"http://www.teamusa.org/usa-water-polo/athletes/Aria-Fischer","http://www.teamusa.org/~/media/TeamUSA/WaterPolo/Fischer_Aria/Fischer_Aria_150x250.jpg","F"
"Ashleigh Johnson","water polo",73,180,21.9123287671233,"http://www.teamusa.org/usa-water-polo/athletes/Ashleigh-Johnson","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Water-Polo-Women/Water_Polo_Women_-Johnson_Ashleigh.jpg","F"
"Ashley Nee","canoe kayak",64,120,27.158904109589,"http://www.teamusa.org/usa-canoe-kayak/athletes/Ashley-Nee","http://www.teamusa.org/~/media/USA_Canoe_Kayak/Images/Headshots/Ashley-Nee.jpg","F"
"Ashton Eaton","track and field",73,180,28.558904109589,"http://www.teamusa.org/usa-track-and-field/athletes/Ashton-Eaton","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicHopefuls/eaton_ashton_150x250.jpg","M"
"Austin Hack","rowing",80,220,24.2356164383562,"http://www.teamusa.org/us-rowing/athletes/Austin-Hack","http://www.teamusa.org/~/media/TeamUSA/Rowing/Hack_Austin/Hack_Austin_150x250.jpg","M"
